0	[2413, 2611, 2919, 3154, 3258, 3538, 3936, 4211, 4616, 4778, 5084, 5405, 5785, 6212, 6837, 7155, 7863, 8632, 9206, 9919, 10730, 11762, 12505, 13676, 15394, 17156, 19301, 21647, 23497, 26319, 29724, 34052, 37857, 43641, 48643, 55139, 62869, 69952, 80153, 93292, 108042, 125263, 151614, 176232, 206504, 256211, 300427, 343220, 380151, 343493, 233345, 52338, 17092, 4725, 770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
5	[1730, 1745, 1801, 1846, 2039, 2308, 2510, 2700, 2869, 3065, 3583, 3808, 4081, 4476, 4841, 5082, 5179, 5596, 5962, 6487, 6931, 7698, 8096, 8971, 9715, 10662, 11394, 12769, 13890, 15407, 17618, 19318, 21636, 24269, 28073, 31966, 35879, 41401, 47427, 53619, 61393, 70625, 82445, 96485, 113172, 133751, 158846, 188190, 219276, 225417, 225081, 113425, 80420, 54146, 33165, 18789, 9535, 4115, 1587, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
10	[895, 967, 1123, 1143, 1119, 1236, 1194, 1176, 1354, 1490, 1550, 1776, 1990, 2139, 2271, 2671, 2954, 3045, 3367, 3573, 3717, 3854, 4236, 4410, 4776, 5135, 5724, 6163, 6755, 7262, 8024, 8917, 9909, 10811, 12128, 13859, 15447, 17295, 19939, 22854, 26571, 30397, 35809, 41517, 47789, 55684, 65752, 76466, 87969, 89931, 108753, 68731, 61041, 54270, 48392, 40961, 33730, 25730, 18639, 12145, 7325, 3722, 1751, 733, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
15	[364, 445, 531, 558, 624, 663, 793, 821, 887, 860, 938, 924, 974, 1014, 1088, 1257, 1398, 1490, 1528, 1802, 2149, 2239, 2462, 2714, 2753, 2920, 2918, 3258, 3542, 3744, 4201, 4768, 5107, 5614, 6171, 7053, 7637, 8696, 9624, 11197, 12656, 14615, 16735, 19735, 22658, 26880, 31918, 37363, 42415, 43675, 58354, 38279, 36374, 34606, 33099, 31326, 29916, 27476, 24533, 22120, 18603, 15211, 11749, 8248, 5583, 3298, 1806, 852, 420, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
20	[210, 275, 265, 289, 351, 302, 361, 375, 447, 501, 545, 671, 711, 670, 733, 780, 766, 780, 832, 941, 1058, 1180, 1220, 1367, 1476, 1718, 1797, 2021, 2336, 2260, 2389, 2585, 2817, 3037, 3288, 3587, 4160, 4628, 5054, 5581, 6494, 7207, 8425, 9580, 11284, 13203, 15612, 18535, 21134, 22692, 31673, 21143, 21054, 20454, 20464, 20311, 20010, 19087, 18465, 17901, 16615, 15490, 14263, 12763, 11367, 9569, 7971, 5861, 4352, 2813, 1800, 957, 486, 310, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
25	[65, 66, 85, 83, 110, 170, 212, 216, 240, 268, 258, 288, 335, 384, 414, 453, 572, 566, 617, 585, 648, 667, 664, 721, 818, 894, 978, 1016, 1151, 1298, 1483, 1592, 1757, 1859, 1985, 2194, 2288, 2584, 2818, 3178, 3468, 3991, 4577, 5108, 5952, 6897, 8164, 9596, 11093, 11946, 17378, 12107, 12092, 12132, 12163, 12320, 12254, 12484, 12641, 12427, 12266, 11750, 11544, 10924, 10590, 9955, 9263, 8046, 7336, 6325, 5332, 4328, 3219, 2369, 1554, 1027, 593, 343, 186, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
30	[54, 46, 36, 39, 52, 56, 44, 75, 69, 95, 148, 208, 205, 223, 209, 220, 209, 313, 359, 399, 424, 507, 499, 544, 504, 521, 534, 577, 566, 714, 750, 860, 855, 949, 1055, 1265, 1404, 1572, 1672, 1881, 1999, 2242, 2453, 2822, 3335, 3744, 4360, 5177, 5977, 6505, 9732, 6458, 6499, 6500, 6688, 6796, 7027, 7112, 7466, 7543, 7427, 7568, 7538, 7530, 7351, 7248, 7013, 6833, 6539, 6007, 5702, 5255, 4595, 4057, 3553, 2950, 2276, 1768, 1276, 851, 609, 338, 217, 171, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
35	[22, 26, 36, 26, 34, 30, 41, 32, 41, 43, 48, 49, 51, 50, 58, 140, 174, 179, 168, 197, 152, 176, 259, 294, 323, 384, 340, 370, 412, 447, 435, 463, 477, 466, 541, 678, 692, 743, 844, 935, 1116, 1182, 1425, 1538, 1742, 1959, 2254, 2700, 3149, 3353, 5237, 3482, 3396, 3544, 3589, 3530, 3628, 3680, 3849, 3988, 4068, 4225, 4391, 4415, 4473, 4396, 4329, 4369, 4340, 4111, 4072, 3915, 3769, 3578, 3357, 3038, 2759, 2426, 2150, 1773, 1541, 1167, 887, 659, 424, 339, 204, 138, 94, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
40	[16, 22, 20, 25, 31, 23, 28, 35, 45, 42, 60, 52, 54, 50, 68, 62, 50, 74, 69, 84, 144, 143, 157, 188, 201, 203, 232, 311, 322, 392, 430, 432, 464, 522, 587, 579, 597, 661, 707, 794, 894, 1049, 1092, 1235, 1493, 1677, 2036, 2336, 2771, 3059, 4709, 3124, 3004, 3100, 3192, 3273, 3329, 3322, 3439, 3290, 3611, 3552, 3659, 3961, 3858, 3968, 3985, 4038, 4217, 4305, 4287, 4302, 4299, 4228, 4268, 4142, 4063, 4048, 3875, 3781, 3473, 3318, 3038, 2777, 2581, 2388, 2156, 1910, 1664, 1468, 1312, 1090, 942, 834, 787, 638, 486, 378, 295, 255, 169]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
all	[5769, 6203, 6816, 7163, 7618, 8326, 9119, 9641, 10568, 11142, 12214, 13181, 14186, 15218, 16519, 17820, 19165, 20675, 22108, 23987, 25953, 28226, 30098, 32885, 35960, 39593, 43218, 48132, 52471, 57843, 65054, 72987, 80879, 91168, 102471, 116320, 130973, 147532, 168238, 193331, 222633, 256571, 304575, 354252, 413929, 500006, 589369, 683583, 773935, 750071, 694262, 319087, 240972, 193477, 161522, 137306, 119429, 103006, 90619, 79706, 69915, 61518, 54895, 48574, 43397, 38434, 34367, 29999, 27204, 23696, 21193, 18757, 16368, 14542, 12859, 11157, 9691, 8585, 7487, 6503, 5623, 4823, 4142, 3607, 3090, 2727, 2360, 2048, 1758, 1563, 1312, 1090, 942, 834, 787, 638, 486, 378, 295, 255, 169]	[-50.5, -49.5, -48.5, -47.5, -46.5, -45.5, -44.5, -43.5, -42.5, -41.5, -40.5, -39.5, -38.5, -37.5, -36.5, -35.5, -34.5, -33.5, -32.5, -31.5, -30.5, -29.5, -28.5, -27.5, -26.5, -25.5, -24.5, -23.5, -22.5, -21.5, -20.5, -19.5, -18.5, -17.5, -16.5, -15.5, -14.5, -13.5, -12.5, -11.5, -10.5, -9.5, -8.5, -7.5, -6.5, -5.5, -4.5, -3.5, -2.5, -1.5, -0.5, 0.5, 1.5, 2.5, 3.5, 4.5, 5.5, 6.5, 7.5, 8.5, 9.5, 10.5, 11.5, 12.5, 13.5, 14.5, 15.5, 16.5, 17.5, 18.5, 19.5, 20.5, 21.5, 22.5, 23.5, 24.5, 25.5, 26.5, 27.5, 28.5, 29.5, 30.5, 31.5, 32.5, 33.5, 34.5, 35.5, 36.5, 37.5, 38.5, 39.5, 40.5, 41.5, 42.5, 43.5, 44.5, 45.5, 46.5, 47.5, 48.5, 49.5, 50.5]
