Mathematics	[[0.2559122351923908, 0.020903599386586192], [0.23294673817061876, 0.02781915059812862], [0.22625328308781548, 0.02554730389451841], [0.23817912191614612, 0.025875186857684952], [0.21310471856546942, 0.024512627934486705], [0.21874295954941114, 0.024061571660579407], [0.18140302059816943, 0.022362620461398152], [0.2077506277993291, 0.02347180541633307], [0.17116430809489377, 0.02180749392994623], [0.19132607158922948, 0.021336455277459334], [0.17492519898737782, 0.021258194293215474], [0.16032722325557217, 0.020590264090851008], [0.15794886732714647, 0.020419573323188233], [0.15037759339674664, 0.019620186597065284], [0.15988276528885667, 0.020128346903400943], [0.15456461163357715, 0.019156300068288043], [0.16466986984908033, 0.0198033684619371], [0.11044294322392305, 0.016174054901872476], [0.12474579402683979, 0.01732511994476598], [0.12149096055935676, 0.017107975343307175], [0.11788802490556877, 0.017178623234118794], [0.10497386724020939, 0.01586448094654232], [0.10844619168305722, 0.015564333044541283], [0.11054666817941154, 0.015616008581172467], [0.12092689301684012, 0.016376802863432863], [0.11836720857591194, 0.01651467304162665], [0.10182441015774349, 0.01485599566882413], [0.09716306692113143, 0.014476113640023476], [0.10292981213357093, 0.01531139161035701], [0.09739812872872589, 0.014664577438725172], [0.09959851152426383, 0.01470145039554734], [0.09575311877281702, 0.01408118684525181], [0.10906772082875636, 0.015014960447300763], [0.07886507569860683, 0.012592778593565909], [0.09650312892919828, 0.01422291821701258], [0.08955387355729527, 0.01410882721615841], [0.08571156403331381, 0.013449406881414968], [0.08809879693675637, 0.013580880609987722], [0.08656157270891572, 0.01359104467090821], [0.07650025466013802, 0.01277223996556012], [0.07302178368354839, 0.012201088639002353]]
Earth & Environmental Science	[[0.26275816122584944, 0.02157426288966393], [0.21140350877192982, 0.032964746934409296], [0.2484530064214828, 0.033678951909210754], [0.19807165677772706, 0.028847080292095796], [0.20318783068783067, 0.02915023622212305], [0.19788359788359786, 0.028365990379997746], [0.18754359740906826, 0.027126030343539533], [0.16222474538948525, 0.025398066448517335], [0.18054432464809825, 0.025674113374311306], [0.19057321646607359, 0.026341527596306973], [0.19681635388739946, 0.026356841844349273], [0.13393489030431704, 0.02181703510584559], [0.14077825159914711, 0.0210743611041009], [0.1348594754508733, 0.021487714587391474], [0.1450970632155301, 0.021194804515877106], [0.1180083805083805, 0.019607846974327325], [0.11359275053304904, 0.018489867926199513], [0.1203271962308107, 0.01873487378499497], [0.12479378942261038, 0.019361743331240192], [0.11196355085243974, 0.0179509058056932], [0.09767254652284005, 0.016202704634380657], [0.1084228734228734, 0.01691129418382726], [0.10790362308565578, 0.016895506392147482], [0.09195806195806196, 0.015485479315015161], [0.09040859451138981, 0.015060552873652032], [0.08249073956704835, 0.014487158868603172], [0.08935111383609237, 0.015061766969415311], [0.08678015626834523, 0.014504848654234221], [0.08104946435497354, 0.013936266012582101], [0.0783134310957889, 0.013234361519155765], [0.08462649176246091, 0.01307210858919454], [0.08694755929757439, 0.013180420053661854], [0.0792900687800749, 0.012541680574730993], [0.07321079269656583, 0.012238838950144704], [0.06746635915878724, 0.011782664318264439], [0.056171445007286665, 0.010542207644827615], [0.06459403498224489, 0.011272340879780898], [0.06077512496711392, 0.010921129363790718], [0.05771087079426442, 0.010870338408857781], [0.05501753028049665, 0.010320687506201636], [0.057857664244859365, 0.010383020472732728]]
Social Sciences	[[0.25180343742435246, 0.015720859425815237], [0.23416523235800346, 0.02257445518226695], [0.228551215742227, 0.020573506038322073], [0.2018775951939217, 0.01879790798623029], [0.20355473965287055, 0.018768791277846895], [0.20498489956454558, 0.018288494202400474], [0.1811200500165344, 0.0176526896715774], [0.19531672089125507, 0.017581591249616273], [0.2006098107793023, 0.017998925718668606], [0.1903557810842579, 0.017242166530611006], [0.18260055651359997, 0.016935837053352568], [0.19513394665278017, 0.017695633771878376], [0.18515382475253322, 0.017247748354467882], [0.180605997100215, 0.01704233593016823], [0.1771066416773355, 0.016663171427913192], [0.17301670519847123, 0.01628646641414848], [0.16832082437974602, 0.01581714796514575], [0.17704198541184843, 0.01570725729088635], [0.17272555762139094, 0.0156562169192234], [0.17365402926627416, 0.015769811960411034], [0.16701437252001933, 0.015206340326312769], [0.15142243597355817, 0.01426259380289807], [0.16000430499681248, 0.014707174802206558], [0.15824485478818484, 0.01436043250544757], [0.14574260370864417, 0.013730559414186109], [0.16059280712866286, 0.014064778927996431], [0.14783768476244313, 0.013676528616808811], [0.14321095712288678, 0.013203139532062211], [0.14424306505357548, 0.013261106271526341], [0.13141151592983782, 0.01265468832902645], [0.1494397097449839, 0.013293362183648702], [0.1381559145982223, 0.012853538703704735], [0.13580723415512377, 0.012697016067437833], [0.13338006132112826, 0.012514539853207078], [0.1307788467947557, 0.012424190158773116], [0.12276904401583962, 0.011872103776590516], [0.12231528329745846, 0.011630524241967562], [0.11447017310810578, 0.011286926333168345], [0.11521012041916129, 0.011051518008040662], [0.12131639363161573, 0.011554349639184829], [0.10656130968517041, 0.010445628046931969]]
Chemistry	[[0.18909249945127915, 0.008732175252337328], [0.16696156492676692, 0.011340174499639739], [0.16155451464202825, 0.01081770552598686], [0.14765370762254507, 0.009897322612855353], [0.1470796640286055, 0.009653133911895224], [0.1423828992281497, 0.009247585122994029], [0.1431772384682452, 0.009067944015920752], [0.13120205649548922, 0.008484834759367859], [0.12858623340080721, 0.00830302910236721], [0.1250410243693731, 0.007959584120754853], [0.11684999949151385, 0.007632200627131515], [0.10957804495627374, 0.007207031476957262], [0.10142611704012938, 0.006794217454254456], [0.10578705301654559, 0.006978240895817421], [0.10716766479073096, 0.0067631727287014425], [0.10550105386010346, 0.006645139404674488], [0.10152775318130394, 0.006530299171728333], [0.09656078699380657, 0.00637062082155437], [0.0916674174611616, 0.006005902314279137], [0.0940343959081198, 0.006170397084506009], [0.08575556476567799, 0.005747018092128655], [0.08029527940860852, 0.005500860873694639], [0.08216933082402345, 0.00553133218192392], [0.07634454123482193, 0.005342447797112846], [0.07818866789019559, 0.005306975208318057], [0.07244722491958915, 0.005133211162842981], [0.07536234373663676, 0.005157614821046666], [0.07008578194659024, 0.004919363297737168], [0.0640786440882563, 0.004612393333844042], [0.06325294701767321, 0.0046391286763265115], [0.0628469566176557, 0.004524378972985714], [0.06152798249553558, 0.004428539410080536], [0.06244381170992893, 0.004565323319141355], [0.06388846577996243, 0.004667872739621426], [0.05712069699536397, 0.004395347723196059], [0.056659668730489686, 0.00439612851437763], [0.049716853981051835, 0.004174591665335389], [0.047424902109946356, 0.004082053698101878], [0.04598114813156235, 0.004108694018825268], [0.042188328819169375, 0.004059116517688418], [0.045292209155810004, 0.004144003729005368]]
Physics	[[0.2118718221591581, 0.014361807742559563], [0.1812566423257568, 0.018272102954965758], [0.15976710218342016, 0.01703161603684061], [0.14661184420220563, 0.016100521060324766], [0.16140090145588204, 0.01646577042541968], [0.15735542544447922, 0.01578429856569954], [0.13118151328533842, 0.014343906869867517], [0.1419443249629188, 0.014400150044284013], [0.14426206064576186, 0.014571100701274077], [0.12259426011555483, 0.013393080148333321], [0.13893860641379935, 0.014089315577818323], [0.12428515579892926, 0.013130375921045557], [0.12203559718382546, 0.012915820180170994], [0.12109663899911577, 0.012855739382555421], [0.10611357327491268, 0.011557658036460203], [0.11320451094345338, 0.011982721540021717], [0.10299915218476073, 0.011468353435223897], [0.10822729147948233, 0.011388107651976528], [0.10236493930391567, 0.011146657789167406], [0.10480805347621226, 0.011019191678213677], [0.10683676745228213, 0.011320157008286686], [0.10670972725365652, 0.011217216522209606], [0.09998636476159758, 0.01065802660741359], [0.09638004381210474, 0.010449022431074189], [0.08627088652574876, 0.00972979006236323], [0.08812272096000913, 0.00989500397201575], [0.09008996712328547, 0.009820172231526397], [0.09278023854841547, 0.009814470706491258], [0.08894346197737044, 0.009353824248938155], [0.09715415589502144, 0.009851914667387378], [0.09788136758961724, 0.009520383653849348], [0.08373105465891074, 0.008741882300954856], [0.08900936311839645, 0.008883413552888693], [0.08738094664960491, 0.008534897247854278], [0.08778806530844468, 0.008730852254821156], [0.08504939039772506, 0.008611233272736843], [0.07359098544708753, 0.007919988483716526], [0.07114824551730836, 0.007922759836626733], [0.07028028442620818, 0.007916714814195718], [0.06114239594149973, 0.007422131501304407], [0.06164487441878758, 0.007460317530897754]]
Engineering	[[0.28296703296703296, 0.06450248672278047], [0.275, 0.10527384252939548], [0.2733333333333333, 0.09895474865958823], [0.2644110275689223, 0.0939355150569914], [0.31756338899196035, 0.09628355735003749], [0.325250626566416, 0.09650453826326921], [0.3088487972508591, 0.08778483455405336], [0.24431818181818182, 0.08397214030977859], [0.22953216374269003, 0.08620718297666184], [0.34545454545454546, 0.09096731747298879], [0.2409090909090909, 0.08158796435707506], [0.21390977443609022, 0.07235507848089709], [0.23171521035598705, 0.07422087356479977], [0.2622767857142857, 0.07271362440091449], [0.27208333333333334, 0.07101265264382103], [0.270180502107385, 0.07713422755396047], [0.2868449136165672, 0.06879605564517989], [0.2677237966711651, 0.06964438349779492], [0.27618421052631575, 0.06618641075543871], [0.27141280353200886, 0.06294842459076784], [0.24088549465907957, 0.06109814689081294], [0.21655992505049104, 0.05577896429978796], [0.2281697341513292, 0.05590368617679352], [0.2606908964051821, 0.05380725235404196], [0.2461941584145395, 0.05039132145446841], [0.28006415001233653, 0.05442601411513327], [0.29721036784143584, 0.054780592853149845], [0.3264803312629399, 0.053307152533448025], [0.3028277518537259, 0.05227253256684514], [0.2640336134453781, 0.04644874080713106], [0.2856811214819123, 0.0490778731331158], [0.29434684710646947, 0.049943300991422857], [0.272247619047619, 0.046271807208729615], [0.3288788056206089, 0.049137616923476304], [0.26500515560554927, 0.04587810265509968], [0.27606589549400007, 0.04551955449786537], [0.2811316095170262, 0.044021253457331405], [0.23568462972377563, 0.04199645169671205], [0.18896180880051847, 0.03707322837085474], [0.20487780768821037, 0.03906256176500461], [0.2228328430828431, 0.03946778001741213]]
Materials Science	[[0.2583007266629402, 0.019617044907071987], [0.2156770130454341, 0.027471991009027676], [0.1915726078167116, 0.024327373584232224], [0.19867603792088917, 0.023815106836405045], [0.19629241852368884, 0.02313886837172935], [0.17333829125981826, 0.021127007745706923], [0.18879912592809214, 0.021583336537336812], [0.18361121418264273, 0.020941762205320034], [0.172887285111042, 0.019770842357578422], [0.1742152337111833, 0.019087862689927126], [0.18144884076886122, 0.018800084398610323], [0.1755529073710892, 0.01869189038057597], [0.17966856641322418, 0.01842171244705735], [0.1674986437256988, 0.01771227857378344], [0.17473830662127735, 0.017506614918296137], [0.17584203170586346, 0.017131161898113683], [0.16534444217974484, 0.016480810017449974], [0.15949462331142114, 0.015803477109587964], [0.1675445346098547, 0.015734758852422502], [0.16024098928797917, 0.014957535121484476], [0.17080846694646334, 0.01528601520712517], [0.15567059198046349, 0.01425289747159095], [0.14796711550369568, 0.01363122329784783], [0.15771512668393053, 0.014102009886188266], [0.14411160646437995, 0.013034360395595176], [0.1422139877247898, 0.01270217466245215], [0.14612026310040124, 0.012803896644298682], [0.14827171614098147, 0.01280047364948917], [0.15160094344025718, 0.012866566510765901], [0.152492854394387, 0.012466047558739783], [0.1466280508217679, 0.012307947478930093], [0.1616444555560816, 0.012647579757202114], [0.13867617256516204, 0.011600047674772747], [0.14388688265087388, 0.011922562618005134], [0.12986968039892002, 0.0113364295414018], [0.12320128832246777, 0.010927132424738759], [0.10885979928423775, 0.010202525379505632], [0.11221923618601196, 0.010621243381687184], [0.11166902591227235, 0.010816517019830881], [0.09375156164824053, 0.009934799667945079], [0.08489022770564437, 0.009544999351539091]]
Biology	[[0.15214370720699832, 0.00863957624524969], [0.11255897520298441, 0.011134372608500627], [0.11077091311466311, 0.010628089944148916], [0.10380890380890381, 0.010059673803301354], [0.09374346308340263, 0.00941916694271467], [0.09392169547244734, 0.009035990263872803], [0.08074918880272781, 0.008385085134122797], [0.08056532091862129, 0.008117761944234391], [0.0727439187283794, 0.0075231264860023805], [0.06274207860706903, 0.006825247245466593], [0.06088787033438444, 0.0066596491579052446], [0.06866586727872587, 0.006989863115189346], [0.05975816308385116, 0.00629167831678778], [0.056869912504855215, 0.006010994869438494], [0.0529824479640079, 0.005733521718500153], [0.050928435716066804, 0.005530701941695422], [0.05114621862195617, 0.005495533580007333], [0.044801208079376556, 0.0049523406192781595], [0.04999309614993471, 0.005368939529995372], [0.04402508846649068, 0.004809057429139478], [0.04426900579335164, 0.00487185399271493], [0.04388123364014056, 0.004775962737128826], [0.0406296905333599, 0.0044808114487368995], [0.040489491402028246, 0.00440699021488077], [0.042097333054094854, 0.004409764281724628], [0.040823125510974834, 0.004327535081201346], [0.04755361864310917, 0.0047884755141922196], [0.03985206678070116, 0.004246755120433787], [0.042424401168339516, 0.004363412917911361], [0.03468178209825634, 0.003853080066742316], [0.037967782495178605, 0.004051689984862357], [0.03653841391347481, 0.004064189445500721], [0.035824603151987135, 0.0039633103879666304], [0.03247571888616322, 0.0037490702540929196], [0.030992581330109563, 0.003614226820449877], [0.032343028769541406, 0.0037211926105068936], [0.03095976628596634, 0.003678955863242345], [0.027631768189353326, 0.0034760224233532275], [0.02520068964530958, 0.0032555786294519787], [0.028397184734626456, 0.003660364577683963], [0.024376879767781957, 0.003231606561381316]]
Computer science	[[0.30235148514851484, 0.043230918581696406], [0.29317269076305225, 0.06228855621090307], [0.2606625258799172, 0.06425642058690681], [0.3043371943371943, 0.06056994443599721], [0.2865209471766849, 0.059190173344839024], [0.2526721014492753, 0.05687209855001427], [0.29438405797101447, 0.05953589168564584], [0.24888030888030888, 0.05697743615970769], [0.2678515007898894, 0.05456917367832443], [0.2540664375715922, 0.056035257212147194], [0.2521591970121382, 0.05428204584662917], [0.22896241830065361, 0.05122427177802295], [0.253550135501355, 0.053956588419263804], [0.2265461215932914, 0.05084232373448466], [0.23451967592592593, 0.052481538919404866], [0.23412698412698416, 0.05026266690426073], [0.16320910973084887, 0.042079376235475724], [0.22380604288499026, 0.04966977665009648], [0.1819068596601636, 0.04484492063090219], [0.2091157476403378, 0.04546722583932195], [0.19434051398337115, 0.044562813988942955], [0.1719050743657043, 0.04157704583306972], [0.15975177304964538, 0.036035804351544895], [0.19791359842906234, 0.0414859905955339], [0.13191550925925924, 0.03388837735015522], [0.14906386887099052, 0.034329398668309904], [0.13990527393753197, 0.034280577065085124], [0.1630119394696654, 0.03467379906777197], [0.1627473509511043, 0.033701733382096755], [0.1697309280855199, 0.03315355818798348], [0.17739444538145835, 0.03386850041879474], [0.15713070942662777, 0.03223675932187621], [0.1411470823341327, 0.029519884813627585], [0.16312680375180372, 0.030816363766367583], [0.1593200649423357, 0.029922308773450795], [0.16374738835936176, 0.030128538221537104], [0.14876191405161363, 0.027182464331529495], [0.13343473198957387, 0.02601493615514848], [0.11999413359226442, 0.0243729426063028], [0.12256467830311248, 0.023822501805024248], [0.11860159853088306, 0.022368589291195947]]
Medicine	[[0.1678637996160753, 0.00803795226938177], [0.1402361219797998, 0.011113004194991062], [0.14110437622342384, 0.010847454346263993], [0.13512979429646096, 0.010473195908108426], [0.1371448737982033, 0.01021501020645062], [0.1266070263376893, 0.009663295585805082], [0.1216982349659209, 0.009092754863041376], [0.11811451487580518, 0.008854151953936976], [0.11939944314944315, 0.008812357320065887], [0.10907541198342259, 0.008136952590921214], [0.10259698064231663, 0.007796633781938297], [0.10570694453788497, 0.007812348667028304], [0.08841968865086004, 0.007070834334432306], [0.08944538208889323, 0.006965992799002472], [0.08876316549604962, 0.006922276234910309], [0.08369280998299004, 0.0065294650239413905], [0.0777239135994605, 0.0061395099297975415], [0.07858334985751696, 0.006187307422318761], [0.07800125910327367, 0.005985158725382965], [0.06935143274298684, 0.005614124980672362], [0.06526412277929212, 0.005382527673425158], [0.06548741209461649, 0.00533436458546924], [0.0659601594375251, 0.005366766680508405], [0.06269529115407481, 0.005200614836173546], [0.06240520484708481, 0.0051326775812992175], [0.06199037048624381, 0.0050341399177076486], [0.060371604874898094, 0.004967038732456679], [0.06401889990230572, 0.005110623348218305], [0.059310107608568606, 0.004812705074477201], [0.06260246977642443, 0.004868774225361337], [0.05452229985134266, 0.00439960978858485], [0.059659817659272106, 0.004748794824054078], [0.05857149481680233, 0.004627121886824388], [0.05615995356836932, 0.004565278689322532], [0.04991472816767823, 0.004227228902790933], [0.04717146336175214, 0.004058153756612815], [0.05093285521481793, 0.004274833002693677], [0.04426773206780315, 0.003930898240454549], [0.046213999185816756, 0.004115005359613926], [0.04175051176321114, 0.003784513640077394], [0.04500650384954489, 0.0039760972441830085]]
